,ECG_RA,ECG_LA,GSR,EEG,emotion
0,2044.0,2052.0,34996.0,4465.8974358974365,anger
1,2083.0,2065.0,35699.0,4461.0256410256425,anger
2,2045.0,2049.0,34669.0,4501.062271062272,anger
3,2103.0,2098.0,35073.0,4469.890109890111,anger
4,2043.0,2050.0,35331.0,4467.252747252748,anger
5,2027.0,2038.0,35491.0,4467.692307692308,anger
6,2091.0,2041.0,35812.0,4456.446886446888,anger
7,2037.0,2049.0,51252.0,4461.172161172161,anger
8,2038.0,2050.0,50911.0,4454.945054945057,anger
9,2038.0,2049.0,51200.0,4467.179487179487,anger
10,2036.0,2048.0,51225.0,4458.8278388278395,anger
11,2043.0,2051.0,35674.0,4439.89010989011,anger
12,2041.0,2050.0,35391.0,4447.142857142858,anger
13,2042.0,2051.0,35332.0,4445.128205128206,anger
14,2074.0,2069.0,18000.0,4449.70695970696,anger
15,2010.0,2024.0,35421.0,4424.468864468865,anger
16,2055.0,2056.0,52217.0,4564.4322344322345,anger
17,2047.5,2054.0,34647.0,4418.60805860806,anger
18,2037.0,2057.0,52395.0,4465.311355311356,anger
19,2048.0,2059.0,52076.0,4471.465201465202,anger
20,2044.0,2047.0,50707.0,4454.505494505495,anger
21,2041.0,2049.0,50720.0,4440.146520146521,anger
22,2042.0,2049.0,50710.0,4437.545787545789,anger
23,2044.0,2047.0,51791.0,4449.37728937729,anger
24,,,18023.0,4465.860805860807,anger
25,,,18074.0,4459.92673992674,anger
26,2041.0,2046.0,36048.0,4456.923076923077,anger
27,2074.0,2079.0,35095.0,4461.575091575091,anger
28,2084.0,2094.0,35395.0,4459.120879120879,anger
29,2097.0,2106.0,34947.0,4460.073260073261,anger
30,2074.0,2082.0,34857.0,4460.219780219782,anger
31,2054.0,2058.0,34912.0,4460.989010989012,anger
32,2045.0,2054.0,35659.0,4461.062271062272,anger
33,2066.0,2039.0,36083.0,4435.238095238095,anger
34,2032.0,2030.0,36035.0,4457.472527472528,anger
35,2043.0,2037.0,35048.0,4463.553113553114,anger
36,2044.0,2061.0,35794.0,4457.655677655678,anger
37,2046.0,2055.0,35347.0,4466.336996336997,anger
38,2060.0,2075.0,35204.0,4474.139194139195,anger
39,2065.0,2074.0,17949.0,4430.3663003663005,anger
40,2042.0,2051.0,18005.0,4448.021978021979,anger
41,2014.0,2023.0,18265.0,4448.79120879121,anger
42,2034.0,2045.0,35728.0,4445.384615384616,anger
